player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
132233,Marco Bizot,Marco Bizot,Marco,Bizot,Marco_Bizot,Goalkeeper,G,40,34,"6' 4""",192 lbs,,1991-03-10T08:00Z,Netherlands,362,Aston Villa
158626,Emiliano Martínez,Emiliano Martínez,Emiliano,Martínez,Emiliano_Martínez,Goalkeeper,G,23,33,"6' 5""",192 lbs,,1992-09-02T07:00Z,Argentina,362,Aston Villa
235319,James Wright,James Wright,James,Wright,James_Wright,Goalkeeper,G,64,20,"6' 2""",,,2004-12-02T08:00Z,England,362,Aston Villa
368316,Sam Proctor,Sam Proctor,Sam,Proctor,Sam_Proctor,Goalkeeper,G,52,18,"6' 2""",,,2006-12-21T08:00Z,England,362,Aston Villa
409811,Rhys Oakley,Rhys Oakley,Rhys,Oakley,Rhys_Oakley,Goalkeeper,G,95,17,"6' 4""",,,2008-09-16T07:00Z,England,362,Aston Villa
160115,Lucas Digne,Lucas Digne,Lucas,Digne,Lucas_Digne,Defender,D,12,32,"5' 10""",161 lbs,,1993-07-20T07:00Z,France,362,Aston Villa
181312,Tyrone Mings,Tyrone Mings,Tyrone,Mings,Tyrone_Mings,Defender,D,5,32,"6' 5""",170 lbs,,1993-03-13T08:00Z,England,362,Aston Villa
204679,Victor Lindelöf,Victor Lindelöf,Victor,Lindelöf,Victor_Lindelöf,Defender,D,3,31,"6' 2""",174 lbs,,1994-07-17T07:00Z,Sweden,362,Aston Villa
231859,Ezri Konsa,Ezri Konsa,Ezri,Konsa,Ezri_Konsa,Defender,D,4,28,"6' 0""",161 lbs,,1997-10-23T07:00Z,England,362,Aston Villa
234698,Matty Cash,Matty Cash,Matty,Cash,Matty_Cash,Defender,D,2,28,"6' 1""",172 lbs,,1997-08-07T07:00Z,Poland,362,Aston Villa
251100,Pau Torres,Pau Torres,Pau,Torres,Pau_Torres,Defender,D,14,28,"6' 3""",174 lbs,,1997-01-16T08:00Z,Spain,362,Aston Villa
