player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
249527,Ellery Balcombe,Ellery Balcombe,Ellery,Balcombe,Ellery_Balcombe,Goalkeeper,G,31,26,"6' 3""",203 lbs,,1999-10-15T07:00Z,England,337,Brentford
275599,Caoimhín Kelleher,Caoimhín Kelleher,Caoimhín,Kelleher,Caoimhín_Kelleher,Goalkeeper,G,1,26,"6' 2""",161 lbs,Cork,1998-11-23T08:00Z,Republic of Ireland,337,Brentford
307281,Matthew Cox,Matthew Cox,Matthew,Cox,Matthew_Cox,Goalkeeper,G,13,22,"6' 0""",139 lbs,,2003-05-02T07:00Z,England,337,Brentford
311527,Hákon Rafn Valdimarsson,Hákon Rafn Valdimarsson,Hákon Rafn,Valdimarsson,Hákon_Rafn_Valdimarsson,Goalkeeper,G,12,24,"6' 2""",194 lbs,,2001-10-13T07:00Z,Iceland,337,Brentford
368826,Julian Eyestone,Julian Eyestone,Julian,Eyestone,Julian_Eyestone,Goalkeeper,G,41,19,"6' 6""",214 lbs,,2006-04-21T07:00Z,USA,337,Brentford
206173,Kristoffer Ajer,Kristoffer Ajer,Kristoffer,Ajer,Kristoffer_Ajer,Defender,D,20,27,"6' 6""",203 lbs,,1998-04-17T07:00Z,Norway,337,Brentford
206761,Rico Henry,Rico Henry,Rico,Henry,Rico_Henry,Defender,D,3,28,"5' 7""",148 lbs,,1997-07-08T07:00Z,England,337,Brentford
241093,Ethan Pinnock,Ethan Pinnock,Ethan,Pinnock,Ethan_Pinnock,Defender,D,5,32,"6' 4""",172 lbs,,1993-05-29T07:00Z,Jamaica,337,Brentford
270507,Sepp van den Berg,Sepp van den Berg,Sepp,van den Berg,Sepp_van_den_Berg,Defender,D,4,23,"6' 2""",161 lbs,,2001-12-20T08:00Z,Netherlands,337,Brentford
279780,Nathan Collins,Nathan Collins,Nathan,Collins,Nathan_Collins,Defender,D,22,24,"6' 4""",183 lbs,,2001-04-30T07:00Z,Republic of Ireland,337,Brentford
283940,Aaron Hickey,Aaron Hickey,Aaron,Hickey,Aaron_Hickey,Defender,D,2,23,"5' 10""",159 lbs,,2002-06-10T07:00Z,Scotland,337,Brentford
356640,Michael Kayode,Michael Kayode,Michael,Kayode,Michael_Kayode,Defender,D,33,21,"5' 10""",161 lbs,,2004-07-10T07:00Z,Italy,337,Brentford
367447,Benjamin Arthur,Benjamin Arthur,Benjamin,Arthur,Benjamin_Arthur,Defender,D,43,20,"6' 2""",174 lbs,,2005-10-09T07:00Z,England,337,Brentford
127262,Jordan Henderson,Jordan Henderson,Jordan,Henderson,Jordan_Henderson,Midfielder,M,6,35,"6' 0""",172 lbs,,1990-06-17T07:00Z,England,337,Brentford
