player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
195738,Walter Benítez,Walter Benítez,Walter,Benítez,Walter_Benítez,Goalkeeper,G,44,32,"6' 3""",201 lbs,,1993-01-19T08:00Z,Argentina,384,Crystal Palace
205981,Remi Matthews,Remi Matthews,Remi,Matthews,Remi_Matthews,Goalkeeper,G,31,31,"6' 0""",172 lbs,,1994-02-10T08:00Z,England,384,Crystal Palace
234172,Dean Henderson,Dean Henderson,Dean,Henderson,Dean_Henderson,Goalkeeper,G,1,28,"6' 2""",185 lbs,,1997-03-12T08:00Z,England,384,Crystal Palace
127865,Nathaniel Clyne,Nathaniel Clyne,Nathaniel,Clyne,Nathaniel_Clyne,Defender,D,17,34,"5' 9""",148 lbs,,1991-04-05T08:00Z,England,384,Crystal Palace
146679,Daniel Muñoz,Daniel Muñoz,Daniel,Muñoz,Daniel_Muñoz,Defender,D,2,29,"5' 11""",161 lbs,,1996-05-26T07:00Z,Colombia,384,Crystal Palace
228319,Borna Sosa,Borna Sosa,Borna,Sosa,Borna_Sosa,Defender,D,24,27,"6' 2""",172 lbs,,1998-01-21T08:00Z,Croatia,384,Crystal Palace
265907,Marc Guéhi,Marc Guéhi,Marc,Guéhi,Marc_Guéhi,Defender,D,6,25,"6' 0""",174 lbs,,2000-07-13T07:00Z,England,384,Crystal Palace
265918,Maxence Lacroix,Maxence Lacroix,Maxence,Lacroix,Maxence_Lacroix,Defender,D,5,25,"6' 3""",192 lbs,,2000-04-06T07:00Z,France,384,Crystal Palace
272585,Chris Richards,Chris Richards,Chris,Richards,Chris_Richards,Defender,D,26,25,"6' 2""",192 lbs,,2000-03-28T08:00Z,USA,384,Crystal Palace
300853,Tyrick Mitchell,Tyrick Mitchell,Tyrick,Mitchell,Tyrick_Mitchell,Defender,D,3,26,"5' 9""",150 lbs,,1999-09-01T07:00Z,England,384,Crystal Palace
307870,Chadi Riad,Chadi Riad,Chadi,Riad,Chadi_Riad,Defender,D,34,22,"6' 1""",172 lbs,,2003-06-17T07:00Z,Morocco,384,Crystal Palace
358084,Caleb Kporha,Caleb Kporha,Caleb,Kporha,Caleb_Kporha,Defender,D,38,19,"5' 7""",148 lbs,,2006-07-15T07:00Z,England,384,Crystal Palace
386252,Jaydee Canvot,Jaydee Canvot,Jaydee,Canvot,Jaydee_Canvot,Defender,D,23,19,"6' 2""",163 lbs,,2006-07-29T07:00Z,France,384,Crystal Palace
168421,Will Hughes,Will Hughes,Will,Hughes,Will_Hughes,Midfielder,M,19,30,"6' 1""",161 lbs,,1995-04-17T07:00Z,England,384,Crystal Palace
197399,Jefferson Lerma,Jefferson Lerma,Jefferson,Lerma,Jefferson_Lerma,Midfielder,M,8,31,"5' 10""",152 lbs,,1994-10-25T07:00Z,Colombia,384,Crystal Palace
219362,Daichi Kamada,Daichi Kamada,Daichi,Kamada,Daichi_Kamada,Midfielder,M,18,29,"6' 0""",168 lbs,,1996-08-05T07:00Z,Japan,384,Crystal Palace
266628,Cheick Doucouré,Cheick Doucouré,Cheick,Doucouré,Cheick_Doucouré,Midfielder,M,28,25,"5' 11""",161 lbs,,2000-01-08T08:00Z,Mali,384,Crystal Palace
291468,Justin Devenny,Justin Devenny,Justin,Devenny,Justin_Devenny,Midfielder,M,55,22,"5' 10""",161 lbs,,2003-10-11T07:00Z,Northern Ireland,384,Crystal Palace
