player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
130877,Karl Darlow,Karl Darlow,Karl,Darlow,Karl_Darlow,Goalkeeper,G,26,35,"6' 3""",192 lbs,,1990-10-08T07:00Z,Wales,357,Leeds United
164148,Alex Cairns,Alex Cairns,Alex,Cairns,Alex_Cairns,Goalkeeper,G,21,32,"6' 0""",159 lbs,,1993-01-04T08:00Z,England,357,Leeds United
252406,Lucas Perri,Lucas Perri,Lucas,Perri,Lucas_Perri,Goalkeeper,G,1,27,"6' 6""",214 lbs,,1997-12-10T08:00Z,Brazil,357,Leeds United
265921,Illan Meslier,Illan Meslier,Illan,Meslier,Illan_Meslier,Goalkeeper,G,16,25,"6' 6""",161 lbs,,2000-03-02T08:00Z,France,357,Leeds United
223454,Sam Byram,Sam Byram,Sam,Byram,Sam_Byram,Defender,D,25,32,"5' 11""",159 lbs,,1993-09-16T07:00Z,England,357,Leeds United
231863,James Justin,James Justin,James,Justin,James_Justin,Defender,D,24,27,"6' 0""",174 lbs,,1998-02-23T08:00Z,England,357,Leeds United
232325,Joe Rodon,Joe Rodon,Joe,Rodon,Joe_Rodon,Defender,D,6,28,"6' 4""",192 lbs,,1997-10-22T07:00Z,Wales,357,Leeds United
241317,Ethan Ampadu,Ethan Ampadu,Ethan,Ampadu,Ethan_Ampadu,Defender,D,4,25,"6' 0""",172 lbs,,2000-09-14T07:00Z,Wales,357,Leeds United
243408,Jayden Bogle,Jayden Bogle,Jayden,Bogle,Jayden_Bogle,Defender,D,2,25,"5' 10""",150 lbs,,2000-07-27T07:00Z,England,357,Leeds United
246771,Pascal Struijk,Pascal Struijk,Pascal,Struijk,Pascal_Struijk,Defender,D,5,26,"6' 3""",172 lbs,,1999-08-11T07:00Z,Netherlands,357,Leeds United
250166,Gabriel Gudmundsson,Gabriel Gudmundsson,Gabriel,Gudmundsson,Gabriel_Gudmundsson,Defender,D,3,26,"5' 11""",161 lbs,,1999-04-29T07:00Z,Sweden,357,Leeds United
271130,Sebastiaan Bornauw,Sebastiaan Bornauw,Sebastiaan,Bornauw,Sebastiaan_Bornauw,Defender,D,23,26,"6' 3""",179 lbs,,1999-03-22T08:00Z,Belgium,357,Leeds United
274649,Jaka Bijol,Jaka Bijol,Jaka,Bijol,Jaka_Bijol,Defender,D,15,26,"6' 3""",185 lbs,,1999-02-05T08:00Z,Slovenia,357,Leeds United
30116,Ilia Gruev,Ilia Gruev,Ilia,Gruev,Ilia_Gruev,Midfielder,M,44,25,"6' 1""",159 lbs,,2000-05-06T07:00Z,Bulgaria,357,Leeds United
203072,Daniel James,Daniel James,Daniel,James,Daniel_James,Midfielder,M,7,27,"5' 7""",139 lbs,,1997-11-10T08:00Z,Wales,357,Leeds United
251658,Sean Longstaff,Sean Longstaff,Sean,Longstaff,Sean_Longstaff,Midfielder,M,8,28,"5' 11""",141 lbs,,1997-10-30T08:00Z,England,357,Leeds United
253173,Ao Tanaka,Ao Tanaka,Ao,Tanaka,Ao_Tanaka,Midfielder,M,22,27,"5' 11""",163 lbs,,1998-09-10T07:00Z,Japan,357,Leeds United
259653,Brenden Aaronson,Brenden Aaronson,Brenden,Aaronson,Brenden_Aaronson,Midfielder,M,11,25,"5' 10""",150 lbs,,2000-10-22T07:00Z,USA,357,Leeds United
304802,Anton Stach,Anton Stach,Anton,Stach,Anton_Stach,Midfielder,M,18,26,"6' 4""",190 lbs,,1998-11-15T08:00Z,Germany,357,Leeds United
390040,Sam Chambers,Sam Chambers,Sam,Chambers,Sam_Chambers,Midfielder,M,42,18,"5' 9""",150 lbs,,2007-08-18T07:00Z,Scotland,357,Leeds United
197717,Dominic Calvert-Lewin,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,Dominic_Calvert-Lewin,Forward,F,9,28,"6' 2""",157 lbs,,1997-03-16T08:00Z,England,357,Leeds United
199850,Jack Harrison,Jack Harrison,Jack,Harrison,Jack_Harrison,Forward,F,20,28,"5' 9""",152 lbs,,1996-11-20T08:00Z,England,357,Leeds United
245562,Joël Piroe,Joël Piroe,Joël,Piroe,Joël_Piroe,Forward,F,10,26,"5' 11""",161 lbs,,1999-08-02T07:00Z,Netherlands,357,Leeds United
258956,Lukas Nmecha,Lukas Nmecha,Lukas,Nmecha,Lukas_Nmecha,Forward,F,14,26,"6' 1""",174 lbs,,1998-12-14T08:00Z,Germany,357,Leeds United
270641,Noah Okafor,Noah Okafor,Noah,Okafor,Noah_Okafor,Forward,F,19,25,"6' 1""",185 lbs,,2000-05-24T07:00Z,Switzerland,357,Leeds United
297784,Wilfried Gnonto,Wilfried Gnonto,Wilfried,Gnonto,Wilfried_Gnonto,Forward,F,29,22,"5' 8""",141 lbs,,2003-11-05T08:00Z,Italy,357,Leeds United
374129,Harry Gray,Harry Gray,Harry,Gray,Harry_Gray,Forward,F,45,17,"5' 11""",,,2008-10-08T07:00Z,England,357,Leeds United
