player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
138481,Simon Moore,Simon Moore,Simon,Moore,Simon_Moore,Goalkeeper,G,21,35,"6' 3""",183 lbs,,1990-05-19T07:00Z,England,366,Sunderland
281705,Anthony Patterson,Anthony Patterson,Anthony,Patterson,Anthony_Patterson,Goalkeeper,G,1,25,"6' 2""",170 lbs,,2000-05-10T07:00Z,England,366,Sunderland
301449,Robin Roefs,Robin Roefs,Robin,Roefs,Robin_Roefs,Goalkeeper,G,22,22,"6' 4""",159 lbs,,2003-01-17T08:00Z,Netherlands,366,Sunderland
304207,Blondy Nna Noukeu,Blondy Nna Noukeu,Blondy,Nna Noukeu,Blondy_Nna_Noukeu,Goalkeeper,G,16,24,"6' 0""",152 lbs,,2001-05-31T07:00Z,Cameroon,366,Sunderland
165892,Arthur Masuaku,Arthur Masuaku,Arthur,Masuaku,Arthur_Masuaku,Defender,D,26,32,"5' 10""",174 lbs,,1993-11-07T08:00Z,Congo DR,366,Sunderland
214188,Nordi Mukiele,Nordi Mukiele,Nordi,Mukiele,Nordi_Mukiele,Defender,D,20,28,"6' 2""",183 lbs,,1997-11-01T08:00Z,France,366,Sunderland
215401,Omar Alderete,Omar Alderete,Omar,Alderete,Omar_Alderete,Defender,D,15,28,"6' 2""",170 lbs,,1996-12-26T08:00Z,Paraguay,366,Sunderland
230081,Reinildo Mandava,Reinildo Mandava,Reinildo,Mandava,Reinildo_Mandava,Defender,D,17,31,"6' 0""",161 lbs,,1994-01-21T08:00Z,Mozambique,366,Sunderland
243545,Ajibola Alese,Ajibola Alese,Ajibola,Alese,Ajibola_Alese,Defender,D,42,24,"6' 4""",174 lbs,,2001-01-17T08:00Z,England,366,Sunderland
243578,Jenson Arron Jones,Jenson Arron Jones,Jenson Arron,Jones,Jenson_Arron_Jones,Defender,D,51,19,"6' 0""",,,2006-06-26T07:00Z,England,366,Sunderland
264828,Lutsharel Geertruida,Lutsharel Geertruida,Lutsharel,Geertruida,Lutsharel_Geertruida,Defender,D,6,25,"6' 0""",150 lbs,,2000-07-18T07:00Z,Netherlands,366,Sunderland
282645,Danny Ballard,Danny Ballard,Danny,Ballard,Danny_Ballard,Defender,D,5,26,"6' 2""",185 lbs,,1999-09-22T07:00Z,Northern Ireland,366,Sunderland
290207,Trai Hume,Trai Hume,Trai,Hume,Trai_Hume,Defender,D,32,23,"5' 11""",163 lbs,,2002-03-18T08:00Z,Northern Ireland,366,Sunderland
293344,Joseph Anderson,Joseph Anderson,Joseph,Anderson,Joseph_Anderson,Defender,D,45,24,"6' 2""",179 lbs,,2001-02-06T08:00Z,England,366,Sunderland
297167,Timothee Pembélé,Timothee Pembélé,Timothee,Pembélé,Timothee_Pembélé,Defender,D,,23,"6' 0""",174 lbs,,2002-09-09T07:00Z,France,366,Sunderland
301487,Dennis Cirkin,Dennis Cirkin,Dennis,Cirkin,Dennis_Cirkin,Defender,D,3,23,"6' 0""",172 lbs,,2002-04-06T08:00Z,England,366,Sunderland
312592,Leo Fuhr Hjelde,Leo Fuhr Hjelde,Leo Fuhr,Hjelde,Leo_Fuhr_Hjelde,Defender,D,33,22,"6' 3""",163 lbs,,2003-08-26T07:00Z,Norway,366,Sunderland
329644,Zak Johnson,Zak Johnson,Zak,Johnson,Zak_Johnson,Defender,D,41,21,"6' 0""",172 lbs,,2004-07-30T07:00Z,England,366,Sunderland
