player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
204082,Guglielmo Vicario,Guglielmo Vicario,Guglielmo,Vicario,Guglielmo_Vicario,Goalkeeper,G,1,29,"6' 4""",183 lbs,,1996-10-07T07:00Z,Italy,367,Tottenham Hotspur
259942,Brandon Austin,Brandon Austin,Brandon,Austin,Brandon_Austin,Goalkeeper,G,40,26,"6' 2""",181 lbs,,1999-01-08T08:00Z,England,367,Tottenham Hotspur
324393,Antonin Kinsky,Antonin Kinsky,Antonin,Kinsky,Antonin_Kinsky,Goalkeeper,G,31,22,"6' 3""",183 lbs,,2003-03-13T08:00Z,Czechia,367,Tottenham Hotspur
359158,Luca Gunter,Luca Gunter,Luca,Gunter,Luca_Gunter,Goalkeeper,G,46,20,,,,2005-03-23T08:00Z,England,367,Tottenham Hotspur
6327,Ben Davies,Ben Davies,Ben,Davies,Ben_Davies,Defender,D,33,32,"5' 11""",170 lbs,,1993-04-24T07:00Z,Wales,367,Tottenham Hotspur
96970,Cristian Romero,Cristian Romero,Cristian,Romero,Cristian_Romero,Defender,D,17,27,"6' 1""",172 lbs,,1998-04-27T07:00Z,Argentina,367,Tottenham Hotspur
250543,Kevin Danso,Kevin Danso,Kevin,Danso,Kevin_Danso,Defender,D,4,27,"6' 3""",185 lbs,,1998-09-19T07:00Z,Austria,367,Tottenham Hotspur
267711,Djed Spence,Djed Spence,Djed,Spence,Djed_Spence,Defender,D,24,25,"6' 1""",157 lbs,,2000-08-09T07:00Z,England,367,Tottenham Hotspur
268533,Pedro Porro,Pedro Porro,Pedro,Porro,Pedro_Porro,Defender,D,23,26,"5' 8""",150 lbs,,1999-09-13T07:00Z,Spain,367,Tottenham Hotspur
290076,Destiny Udogie,Destiny Udogie,Destiny,Udogie,Destiny_Udogie,Defender,D,13,22,"6' 1""",161 lbs,,2002-11-28T08:00Z,Italy,367,Tottenham Hotspur
