player_id,name,full_name,first_name,last_name,wiki_name,position,position_abbr,jersey_number,age,height,weight,birth_place,birth_date,nationality,team_id,team_name
289824,Djordje Petrovic,Djordje Petrovic,Djordje,Petrovic,Djordje_Petrovic,Goalkeeper,G,1,26,"6' 4""",194 lbs,,1999-10-08T07:00Z,Serbia,349,AFC Bournemouth
291269,William Dennis,William Dennis,William,Dennis,William_Dennis,Goalkeeper,G,40,25,"6' 2""",183 lbs,,2000-07-10T07:00Z,England,349,AFC Bournemouth
357153,Callan Mckenna,Callan Mckenna,Callan,Mckenna,Callan_Mckenna,Goalkeeper,G,46,18,"6' 2""",168 lbs,,2006-12-22T08:00Z,Scotland,349,AFC Bournemouth
122268,Adam Smith,Adam Smith,Adam,Smith,Adam_Smith,Defender,D,15,34,"5' 11""",172 lbs,,1991-04-29T07:00Z,England,349,AFC Bournemouth
233945,Marcos Senesi,Marcos Senesi,Marcos,Senesi,Marcos_Senesi,Defender,D,5,28,"6' 1""",174 lbs,,1997-05-10T07:00Z,Argentina,349,AFC Bournemouth
279155,James Hill,James Hill,James,Hill,James_Hill,Defender,D,23,23,"6' 0""",161 lbs,,2002-01-10T08:00Z,England,349,AFC Bournemouth
280764,Julián Araujo,Julián Araujo,Julián,Araujo,Julián_Araujo,Defender,D,2,24,"5' 9""",152 lbs,,2001-08-13T07:00Z,Mexico,349,AFC Bournemouth
282675,Bafodé Diakité,Bafodé Diakité,Bafodé,Diakité,Bafodé_Diakité,Defender,D,18,24,"6' 1""",161 lbs,,2001-01-06T08:00Z,France,349,AFC Bournemouth
305684,Adrien Truffert,Adrien Truffert,Adrien,Truffert,Adrien_Truffert,Defender,D,3,23,"5' 9""",159 lbs,,2001-11-20T08:00Z,France,349,AFC Bournemouth
337023,Matai Akinmboni,Matai Akinmboni,Matai,Akinmboni,Matai_Akinmboni,Defender,D,45,19,"6' 3""",170 lbs,,2006-10-17T07:00Z,USA,349,AFC Bournemouth
339797,Julio Soler,Julio Soler,Julio,Soler,Julio_Soler,Defender,D,6,20,"5' 9""",148 lbs,,2005-02-16T08:00Z,Argentina,349,AFC Bournemouth
348298,Owen Bevan,Owen Bevan,Owen,Bevan,Owen_Bevan,Defender,D,35,22,"6' 1""",,,2003-10-26T07:00Z,Wales,349,AFC Bournemouth
367861,Álex Jiménez,Álex Jiménez,Álex,Jiménez,Álex_Jiménez,Defender,D,20,20,"5' 10""",161 lbs,,2005-05-08T07:00Z,Spain,349,AFC Bournemouth
377736,Veljko Milosavljevic,Veljko Milosavljevic,Veljko,Milosavljevic,Veljko_Milosavljevic,Defender,D,44,18,"6' 4""",,,2007-06-28T07:00Z,Serbia,349,AFC Bournemouth
72487,David Brooks,David Brooks,David,Brooks,David_Brooks,Midfielder,M,7,28,"5' 8""",137 lbs,,1997-07-08T07:00Z,Wales,349,AFC Bournemouth
93435,Ryan Christie,Ryan Christie,Ryan,Christie,Ryan_Christie,Midfielder,M,10,30,"5' 10""",152 lbs,,1995-02-22T08:00Z,Scotland,349,AFC Bournemouth
222776,Tyler Adams,Tyler Adams,Tyler,Adams,Tyler_Adams,Midfielder,M,12,26,"5' 9""",159 lbs,,1999-02-14T08:00Z,USA,349,AFC Bournemouth
223452,Lewis Cook,Lewis Cook,Lewis,Cook,Lewis_Cook,Midfielder,M,4,28,"5' 9""",157 lbs,,1997-02-03T08:00Z,England,349,AFC Bournemouth
243364,Marcus Tavernier,Marcus Tavernier,Marcus,Tavernier,Marcus_Tavernier,Midfielder,M,16,26,"5' 10""",152 lbs,,1999-03-22T08:00Z,England,349,AFC Bournemouth
314790,Alex Scott,Alex Scott,Alex,Scott,Alex_Scott,Midfielder,M,8,22,"5' 10""",150 lbs,,2003-08-21T07:00Z,England,349,AFC Bournemouth
102368,Evanilson,Evanilson,Evanilson,,Evanilson,Forward,F,9,26,"6' 0""",174 lbs,,1999-10-06T07:00Z,Brazil,349,AFC Bournemouth
218122,Enes Ünal,Enes Ünal,Enes,Ünal,Enes_Ünal,Forward,F,26,28,"6' 2""",172 lbs,,1997-05-10T07:00Z,Turkey,349,AFC Bournemouth
245916,Justin Kluivert,Justin Kluivert,Justin,Kluivert,Justin_Kluivert,Forward,F,19,26,"5' 7""",148 lbs,,1999-05-05T07:00Z,Netherlands,349,AFC Bournemouth
273292,Antoine Semenyo,Antoine Semenyo,Antoine,Semenyo,Antoine_Semenyo,Forward,F,24,25,"6' 1""",172 lbs,,2000-01-07T08:00Z,Ghana,349,AFC Bournemouth
291613,Amine Adli,Amine Adli,Amine,Adli,Amine_Adli,Forward,F,21,25,"5' 9""",159 lbs,,2000-05-10T07:00Z,Morocco,349,AFC Bournemouth
332948,Ben Gannon Doak,Ben Gannon Doak,Ben,Gannon Doak,Ben_Gannon_Doak,Forward,F,11,19,"5' 9""",141 lbs,,2005-11-11T08:00Z,Scotland,349,AFC Bournemouth
361809,Eli Kroupi,Eli Kroupi,Eli,Kroupi,Eli_Kroupi,Forward,F,22,19,"5' 10""",152 lbs,,2006-06-23T07:00Z,France,349,AFC Bournemouth
398123,Remy Rees-Dottin,Remy Rees-Dottin,Remy,Rees-Dottin,Remy_Rees-Dottin,Forward,F,50,19,"5' 9""",168 lbs,,2006-03-06T08:00Z,England,349,AFC Bournemouth
169532,Kepa Arrizabalaga,Kepa Arrizabalaga,Kepa,Arrizabalaga,Kepa_Arrizabalaga,Goalkeeper,G,13,31,"6' 2""",183 lbs,,1994-10-03T07:00Z,Spain,359,Arsenal
196176,David Raya,David Raya,David,Raya,David_Raya,Goalkeeper,G,1,30,"6' 0""",174 lbs,,1995-09-15T07:00Z,Spain,359,Arsenal
341729,Alexei Rojas,Alexei Rojas,Alexei,Rojas,Alexei_Rojas,Goalkeeper,G,51,20,"6' 2""",170 lbs,,2005-09-28T07:00Z,Colombia,359,Arsenal
343573,Tommy Setford,Tommy Setford,Tommy,Setford,Tommy_Setford,Goalkeeper,G,35,19,"6' 1""",168 lbs,,2006-03-13T08:00Z,England,359,Arsenal
236322,Gabriel Magalhães,Gabriel Magalhães,Gabriel,Magalhães,Gabriel_Magalhães,Defender,D,6,27,"6' 3""",172 lbs,,1997-12-19T08:00Z,Brazil,359,Arsenal
241077,Ben White,Ben White,Ben,White,Ben_White,Defender,D,4,28,"6' 1""",168 lbs,,1997-10-08T07:00Z,England,359,Arsenal
277385,William Saliba,William Saliba,William,Saliba,William_Saliba,Defender,D,2,24,"6' 4""",203 lbs,,2001-03-24T08:00Z,France,359,Arsenal
282716,Jurriën Timber,Jurriën Timber,Jurriën,Timber,Jurriën_Timber,Defender,D,12,24,"5' 10""",172 lbs,,2001-06-17T07:00Z,Netherlands,359,Arsenal
292062,Piero Hincapié,Piero Hincapié,Piero,Hincapié,Piero_Hincapié,Defender,D,5,23,"6' 0""",170 lbs,,2002-01-09T08:00Z,Ecuador,359,Arsenal
298329,Riccardo Calafiori,Riccardo Calafiori,Riccardo,Calafiori,Riccardo_Calafiori,Defender,D,33,23,"6' 2""",190 lbs,,2002-05-19T07:00Z,Italy,359,Arsenal
328497,Cristhian Mosquera,Cristhian Mosquera,Cristhian,Mosquera,Cristhian_Mosquera,Defender,D,3,21,"6' 3""",172 lbs,,2004-06-27T07:00Z,Spain,359,Arsenal
352758,Myles Lewis-Skelly,Myles Lewis-Skelly,Myles,Lewis-Skelly,Myles_Lewis-Skelly,Defender,D,49,19,"5' 10""",159 lbs,,2006-09-26T07:00Z,England,359,Arsenal
178077,Christian Nørgaard,Christian Nørgaard,Christian,Nørgaard,Christian_Nørgaard,Midfielder,M,16,31,"6' 2""",161 lbs,,1994-03-10T08:00Z,Denmark,359,Arsenal
203669,Martin Ødegaard,Martin Ødegaard,Martin,Ødegaard,Martin_Ødegaard,Midfielder,M,8,26,"5' 10""",150 lbs,,1998-12-17T08:00Z,Norway,359,Arsenal
