Team,Position,Name,Nationality
Arsenal,Manager,Mikel Arteta,Spain
Arsenal,Assistant coaches,Albert Stuivenberg,Netherlands
Arsenal,First team coach,Gabriel Heinze,Argentina
Arsenal,Set-piece coach,Nicolas Jover,Germany
Arsenal,Goalkeeping coach,Iñaki Caña,Spain
Arsenal,Academy Manager,Per Mertesacker,Germany
Arsenal,Head of Sports Medicine and Performance,Zafar Iqbal,Pakistan
Arsenal,Sporting Director,Andrea Berta,Italy
Arsenal,Chief Executive Officer,Richard Garlick,England
Arsenal,Chief Commercial Officer,Juliet Slot,England
Arsenal,Chief Financial Officer,Stuart Wisely,England
Arsenal,Director of Football Operations,James King,England
Arsenal,Co-chairman,Stan Kroenke,United States
Arsenal,Director,Lord Harris of Peckham,England
Arsenal,Non-Executive Director,Kelly Blaha,United States
Aston Villa,Executive Chairman,Nassef Sawiris,
Aston Villa,Co-chairman,Wes Edens,
Aston Villa,President of Business Operations,Francesco Calvo,
Aston Villa,Chief Commercial Officer,Ron Erskine,
Aston Villa,Chief Operating Officer,Ben Hatton,
Aston Villa,"Vice President, Content & Digital",Ryan Disdier,
Aston Villa,Head Coach,Unai Emery,
Aston Villa,President of Football Operations,Roberto Olabe,
Aston Villa,Assistant Head Coach,Pako Ayestarán,
Aston Villa,First-Team Coach,Pablo Villanueva,
Aston Villa,Goalkeeping Coach,Francisco Javier Garcia,
Aston Villa,Individual Coach,Rodri,
Aston Villa,Set-Piece Coach,Austin MacPhee,
Aston Villa,Data/Video Analyst,Victor Manuel Manas,
Aston Villa,Head of Strength & Conditioning,Moises de Hoyo,
Aston Villa,Performance Director,Jeremy Oliver,
Aston Villa,Lead Physiotherapist,Alan Smith,
Aston Villa,Head of Sport Medicine & Science,Ricky Shamji,
Aston Villa,Head Psychologist,Martin Littlewood,
Aston Villa,Director of Football Operations,Damian Vidagany,
Aston Villa,Global Technical Role,Alberto Benito,
Aston Villa,Head of Recruitment,Vacant,
Aston Villa,Head of Emerging Talents & Loans,Adam Henshall,
Aston Villa,Chief Scout,Alex Fraser,
Aston Villa,Scout,Pablo Rodriguez,
Aston Villa,Global Director of Football Developmentand International Academies,Matthew Kidson,
Aston Villa,Academy Manager,Mark Harrison,
Aston Villa,Assistant Academy Manager,Sean Verity,
Aston Villa,Under-21 Head Coach,Jimmy Shan,
Aston Villa,Under-21 Professional Development Coach,Dan Green,
Aston Villa,Under-21 Professional Development Coach,Peter Gilbert,
Aston Villa,Emerging Talent Programme Manager,Tony Carss,
Aston Villa,Under-18 Head Coach,Richard Beale,
Aston Villa,Under-18 Professional Development Coach,Adem Atay,
Aston Villa,Under-18 Professional Development Coach,Karl Hooper,
AFC Bournemouth,Academy manager,Sam Gisbourne,England
AFC Bournemouth,Academy head of goalkeeping,Billy Granger,England
AFC Bournemouth,Development squad manager,Alan Connell,England
AFC Bournemouth,U18 coach,James Lowy,England
Brentford,Keith Andrews,Head Coach,
Brentford,Kevin O'Connor,Assistant Head Coach,
Brentford,Neil MacFarlane,Assistant First Team Coach,
Brentford,Mehmet Ali,Assistant First Team Coach,
Brentford,Jack Lester,Assistant First Team Coach,
Brentford,Manu Sotelo,Goalkeeping Coach,
Brentford,Stephen Rice,Set Piece Coach,
Brentford,Ben Ryan,Performance Director,
Brentford,Josh Kirk,Head of Analysis,
Brentford,Luke Stopforth,Head of Data and Technology,
Brentford,Bob Oteng,Kit Logistics Manager,
Brentford,Dr. Stephen Thompson,Head of Medical,
Brentford,Rhys Weston,Head of Football Operations,
Brentford,Sam Saunders,Head Coach,
Brentford,Jani Viander,Goalkeeper Coach,
Brentford,Cameron Tucker-White,Athletic Coach,
Brentford,Alex Davis,Performance Coach,
Brentford,Haydee Agras,Analyst,
Brentford,Jordan Marley,Kit Manager,
Brentford,Matthew Benham,Owner,
Brentford,Cliff Crown,Chairman,
Brentford,Jon Varney,"Chief Executive,executive director",
Brentford,Lisa Skelhorn,Club Secretary,
Brentford,Phil Giles,"Director of Football,executive director",
Brentford,Lee Dykes,Technical director,
Brentford,Nity Raj,"General counsel,executive director",
Brentford,Deji Davies,Non-executive director,
Brentford,Marcus Gayle,Club Ambassador,
Brighton & Hove Albion,Manager,Fabian Hürzeler,
Chelsea,Head coach,Enzo Maresca,Italy
Chelsea,Assistant coach,Willy Caballero,Argentina
Chelsea,First team coaches,Roberto Vitiello,Italy
Chelsea,Goalkeeper coach,Michele De Bernardin,Italy
Chelsea,Assistant goalkeeper coach,James Russell,England
Chelsea,Head of global goalkeeping,Ben Roberts,England
Chelsea,Fitness coaches,Marcos Alvarez,Spain
Chelsea,Player support and development officer,Willie Isa,Samoa
Chelsea,Technical analyst,Bernardo Cueva,Mexico
Chelsea,Match analyst,Javi Molina,Spain
Chelsea,Loan technical coaches,Carlo Cudicini,Italy
Chelsea,Under-21s head coach,Calum McFarlane,England
Chelsea,Under-21s assistant,Andy Ross,Scotland
Chelsea,Under-18s head coach,Hassan Sulaiman,England
Chelsea,Chairman,Todd Boehly,United States
Chelsea,Directors,David Barnard,England
Chelsea,Chief executive officer,Jason Gannon,United States
Chelsea,President of business,Tom Glick,United States
Chelsea,Director of football operations,David Barnard,England
Chelsea,Vice presidents,Joe Hemani,England
Crystal Palace,Manager,Oliver Glasner,
Everton,"Owner, Club Owner",Dan Friedkin,
Everton,Chairman,Marc Watts,
Everton,Total amount of club owned by board members,"128,781",
Everton,Chief Executive Officer/Director,Angus Kinnear,
Everton,Chairman,Dan Friedkin,United States
Everton,Executive Chairman,Marc Watts,United States
Everton,Chief Executive Officer,Angus Kinnear,England
Everton,Club ambassadors,Graham Stuart,England
Everton,Manager,David Moyes,Scotland
Everton,Assistant Manager,Alan Irvine,Scotland
Everton,Goalkeeper Coach,David Lucas,England
Everton,Set Piece Coach,Charlie Adam,Scotland
Everton,Physical Performance Coach,Jack Dowling,England
Everton,Physical Performance Coach,Sean Miller,England
Everton,Head of Academy Coaching,Carl Darlington,Wales
Everton,Under-21s Head Coach,Paul Tait,England
Fulham,Manager,Marco Silva,
Ipswich Town,Manager,Kieran McKenna,Northern Ireland
Ipswich Town,Assistant Manager,Martyn Pert,England
Ipswich Town,First-Team Coaches,Sone AlukoMark HudsonCharlie TurnbullJunior Stanislas,Nigeria
Ipswich Town,Goalkeeping Coaches,Rene GilmartinDavid Martin,Republic of Ireland
Ipswich Town,Fitness Coach,Jon Ashton,England
Ipswich Town,Director of Football Operations,Dmitri Halajko,England
Ipswich Town,Director of Performance,Andy Rolls,England
Ipswich Town,Head of Analysis,Cillian Callally,Republic of Ireland
Ipswich Town,Head of Recruitment,Will Stephenson,England
Ipswich Town,Head of Athletic Performance,Matt Allen,England
Ipswich Town,Head Physiotherapist,Matt Byard,England
